alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
10.844,0,1.483828,0.029264,0,0.037264,0.000024,0.000001,0,-0.000003,-0.000003,20.4313,0.188
10.264,0,1.428653,0.027216,0,0.035216,0.000024,0.000001,0,-0.000003,-0.000003,20.8059,0.1878
9.683,0,1.373233,0.025231,0,0.033231,0.000024,0.000001,0,-0.000003,-0.000003,21.206,0.1876
9.102,0,1.317584,0.02331,0,0.03131,0.000024,0.000001,0,-0.000003,-0.000003,21.6343,0.1875
8.521,0,1.261719,0.021455,0,0.029455,0.000025,0.000001,0,-0.000003,-0.000003,22.0938,0.1873
7.939,0,1.205653,0.01967,0,0.02767,0.000025,0.000001,0,-0.000003,-0.000003,22.5882,0.1871
7.358,0,1.1494,0.017954,0,0.025954,0.000025,0.000001,0,-0.000003,-0.000003,23.1215,0.1869
6.776,0,1.092975,0.016312,0,0.024312,0.000025,0.000001,0,-0.000003,-0.000003,23.6988,0.1867
6.194,0,1.036395,0.014743,0,0.022743,0.000025,0.000001,0,-0.000004,-0.000004,24.3258,0.1865
5.612,0,0.979674,0.01325,0,0.02125,0.000025,0.000001,0,-0.000004,-0.000004,25.0097,0.1863
5.03,0,0.922831,0.011834,0,0.019834,0.000026,0.000001,0,-0.000004,-0.000004,25.7588,0.186
4.449,0,0.865883,0.010496,0,0.018496,0.000026,0.000001,0,-0.000004,-0.000004,26.5837,0.1858
3.868,0,0.808849,0.009239,0,0.017239,0.000026,0.000001,0,-0.000004,-0.000004,27.4972,0.1855
3.287,0,0.75175,0.008063,0,0.016063,0.000026,0.000001,0,-0.000004,-0.000004,28.5155,0.1852
2.707,0,0.694604,0.006968,0,0.014968,0.000026,0.000001,0,-0.000004,-0.000004,29.6596,0.1849
2.128,0,0.637434,0.005956,0,0.013956,0.000027,0.000001,0,-0.000004,-0.000004,30.9564,0.1846
1.55,0,0.580259,0.005026,0,0.013026,0.000027,0.000001,0,-0.000004,-0.000004,32.4423,0.1841
0.972,0,0.523095,0.004181,0,0.012181,0.000027,0.000002,0,-0.000004,-0.000004,34.1669,0.1837
0.395,0,0.465951,0.003421,0,0.011421,0.000027,0.000002,0,-0.000004,-0.000004,36.2008,0.1831
-0.18,0,0.408832,0.002745,0,0.010745,0.000028,0.000002,0,-0.000004,-0.000004,38.648,0.1823
-0.755,0,0.351742,0.002154,0,0.010154,0.000028,0.000002,0,-0.000004,-0.000004,41.6695,0.1814
-1.33,0,0.294682,0.001648,0,0.009648,0.000028,0.000002,0,-0.000004,-0.000004,45.5306,0.1801
-1.903,0,0.237659,0.001227,0,0.009227,0.000028,0.000002,0,-0.000005,-0.000005,50.7078,0.1783
-2.476,0,0.180676,0.000891,0,0.008891,0.000029,0.000002,0,-0.000005,-0.000005,58.1692,0.1753
-3.048,0,0.123742,0.00064,0,0.00864,0.000029,0.000002,0,-0.000005,-0.000005,70.3077,0.1696
-3.619,0,0.066865,0.000472,0,0.008472,0.000029,0.000002,0,-0.000005,-0.000005,95.6807,0.1544
